Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,source_file
Francesco Paolo Sisto,Male,Italy,Forza Italia,,Legislative,2022,,Current,,query (6).csv
Francesco Salzano,Male,Italy,,,Legislative,,,Current,,query (6).csv
Francesco Sapia,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Francesco Scoma,Male,Italy,The People of Freedom,,Legislative,2018,2022,Former,,query (6).csv
Francesco Silvestri,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Francesco Silvestro,Male,Italy,,,Legislative,2022,,Current,,query (6).csv
Francesco Urraro,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Francesco Verducci,Male,Italy,Democratic Party,,Legislative,2022,,Current,cescverducci,query (6).csv
Francesco Verducci,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,cescverducci,query (6).csv
Francesco Zaffini,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Francesco Zaffini,Male,Italy,Brothers of Italy,,Legislative,2018,2022,Former,,query (6).csv
Francesco Zicchieri,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Franco Dal Mas,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Franco Manzato,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Franco Mirabelli,Male,Italy,Democratic Party,,Legislative,2022,,Current,,query (6).csv
Franco Mirabelli,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Franco Vazio,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,francovazio,query (6).csv
Fucsia Nissoli,Female,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Fulvia Michela Caligiuri,Female,Italy,Forza Italia,,Legislative,,2022,Former,,query (6).csv
Gabriele Lanzi,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Gabriele Lorenzoni,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Gabriele Toccafondi,Male,Italy,New Centre-Right,,Legislative,2018,2022,Former,GToccafondi,query (6).csv
Gabriella Di Girolamo,Female,Italy,Five Star Movement,,Legislative,2022,,Current,,query (6).csv
Gabriella Di Girolamo,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Gabriella Giammanco,Female,Italy,The People of Freedom,,Legislative,2018,2022,Former,GabriGiammanco,query (6).csv
Gaetano Amato,Male,Italy,Five Star Movement,,Legislative,2022,,Current,,query (6).csv
Gaetano Nastri,Male,Italy,The People of Freedom,,Legislative,2022,,Current,,query (6).csv
Gaetano Nastri,Male,Italy,The People of Freedom,,Legislative,2018,2022,Former,,query (6).csv
Gaetano Quagliariello,Male,Italy,The People of Freedom,,Legislative,2018,2022,Former,,query (6).csv
Galeazzo Bignami,Male,Italy,Brothers of Italy,,Legislative,2018,2022,Former,,query (6).csv
Gaspare Antonio Marinello,Male,Italy,Five Star Movement,,Legislative,,2022,Former,,query (6).csv
Gavino Manca,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Gelsomina Vono,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Generoso Maraia,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Gennaro Migliore,Male,Italy,Left,,Legislative,2018,2022,Former,gennaromigliore,query (6).csv
Germano Racchella,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Giacomo Caliendo,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Giacomo Paire,Male,Italy,Italian Liberal Party,,Legislative,1992,,Current,,query (6).csv
Giacomo Portas,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Gian Antonio Girelli,Male,Italy,,,Legislative,2022,,Current,,query (6).csv
Gian Marco Centinaio,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,giamma71,query (6).csv
Gian Marco Centinaio,Male,Italy,Lega Nord,,Legislative,2022,,Current,giamma71,query (6).csv
Gian Mario Fragomeli,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,GianmarioFrago,query (6).csv
Gian Piero Scanu,Male,Italy,Democratic Party,,Legislative,,,Current,GianPiero_Scanu,query (6).csv
Gianangelo Bof,Male,Italy,Lega per Salvini Premier,,Legislative,2022,,Current,,query (6).csv
Giancarlo Comastri,Male,Italy,Italian Communist Party,,Legislative,,,Current,,query (6).csv
Giancarlo Giorgetti,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Giancarlo Serafini,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Gianclaudio Bressa,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Giandiego Gatta,Male,Italy,Forza Italia,,Legislative,2022,,Current,,query (6).csv
Giandonato La Salandra,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Gianfranco Di Sarno,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Gianfranco Librandi,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Gianfranco Miccichè,Male,Italy,The People of Freedom,,Legislative,2022,2023,Former,,query (6).csv
Gianfranco Rotondi,Male,Italy,The People of Freedom,,Legislative,2018,2022,Former,,query (6).csv
Gianfranco Rufa,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Giangiacomo Calovini,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Gianluca Benamati,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,GBenamati,query (6).csv
Gianluca Cantalamessa,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Gianluca Cantalamessa,Male,Italy,Lega Nord,,Legislative,2022,,Current,,query (6).csv
Gianluca Caramanna,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Gianluca Castaldi,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,GianlucaVasto,query (6).csv
Gianluca Ferrara,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Gianluca Perilli,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,PerilliM5Senato,query (6).csv
Gianluca Rizzo,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,gianlucarizzo46,query (6).csv
Gianluca Rospi,Male,Italy,,,Legislative,2018,2022,Former,GianlucaRospi,query (6).csv
Gianluca Vacca,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,GianlucaVacca,query (6).csv
Gianluca Vinci,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Gianluigi Paragone,Male,Italy,Italexit,,Legislative,2018,2022,Former,gparagone,query (6).csv
Gianmarco Corbetta,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Gianmauro Dell'Olio,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Gianni Berrino,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Gianni Girotto,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Gianni Marilotti,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Gianni Pittella,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,giannipittella,query (6).csv
Gianni Rosa,Male,Italy,The People of Freedom,,Legislative,2022,,Current,,query (6).csv
Gianni Tonelli,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Gianpaolo Bissi,Male,Italy,Italian Democratic Socialist Party,,Legislative,,,Current,,query (6).csv
Gianpaolo Cassese,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Gianpaolo Vallardi,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Gianpietro Maffoni,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Gianpietro Maffoni,Male,Italy,Brothers of Italy,,Legislative,2018,2022,Former,,query (6).csv
Gilberto Pichetto Fratin,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Gilda Sportiello,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giorgia Andreuzza,Female,Italy,Lega Nord,,Legislative,2022,,Current,,query (6).csv
Giorgia Andreuzza,Female,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Giorgia Meloni,Female,Italy,Brothers of Italy,,Legislative,2018,2022,Former,GiorgiaMeloni,query (6).csv
Giorgio Fede,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giorgio Gangi,Male,Italy,Italian Socialist Party,,Legislative,,,Current,,query (6).csv
Giorgio Lovecchio,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giorgio Maria Bergesio,Male,Italy,Lega Nord,,Legislative,2022,,Current,,query (6).csv
Giorgio Maria Bergesio,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Giorgio Marzola,Male,Italy,Italian Socialist Party,,Legislative,,,Current,,query (6).csv
Giorgio Mulé,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Giorgio Salvitti,Male,Italy,,,Legislative,2022,,Current,,query (6).csv
Giorgio Silli,Male,Italy,Cambiamo!,,Legislative,2018,2022,Former,,query (6).csv
Giorgio Trizzino,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giovambattista Grimaldi,Male,Italy,Italian Social Movement - National Right,,Legislative,,,Current,,query (6).csv
Giovanbattista Fazzolari,Male,Italy,Brothers of Italy,,Legislative,,2022,Former,,query (6).csv
Giovanbattista Fazzolari,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Giovanna Iacono,Female,Italy,Democratic Party,,Legislative,2022,,Current,,query (6).csv
Giovanna Petrenga,Female,Italy,The People of Freedom,,Legislative,2022,,Current,,query (6).csv
Giovanna Petrenga,Female,Italy,The People of Freedom,,Legislative,2019,2022,Former,,query (6).csv
Giovanni Arruzzolo,Male,Italy,Forza Italia,,Legislative,2022,,Current,,query (6).csv
Giovanni Currò,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giovanni Donzelli,Male,Italy,National Alliance,,Legislative,2018,2022,Former,,query (6).csv
Giovanni Endrizzi,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giovanni Giudice,Male,Italy,Independent Left,,Legislative,,,Current,,query (6).csv
Giovanni Lampis,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Giovanni Luca Aresta,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giovanni Luca Cannata,Male,Italy,Forza Italia,,Legislative,2022,,Current,,query (6).csv
Giovanni Maiorano,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,GioMaiorano_,query (6).csv
Giovanni Manzini,Male,Italy,Christian Democracy,,Legislative,,,Current,,query (6).csv
Giovanni Persico,Male,Italy,National Democratic Union,,Legislative,,,Current,,query (6).csv
Giovanni Russo,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giovanni Sanga,Male,Italy,Democratic Party,,Legislative,2021,2021,Former,,query (6).csv
Giovanni Satta,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Giovanni Tombolato,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Giovanni Vianello,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Gisella Naturale,Female,Italy,Five Star Movement,,Legislative,2022,,Current,,query (6).csv
Gisella Naturale,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giuditta Pini,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Giulia Bongiorno,Female,Italy,Lega Nord,,Legislative,2018,2022,Former,avvgbongiorno,query (6).csv
Giulia Bongiorno,Female,Italy,Lega Nord,,Legislative,2022,,Current,avvgbongiorno,query (6).csv
Giulia Cosenza,Female,Italy,National Alliance,,Legislative,2022,,Current,,query (6).csv
Giulia Grillo,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,giuliagrillom5s,query (6).csv
Giulia Lupo,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giulia Pastorella,Female,Italy,Action,,Legislative,2022,,Current,,query (6).csv
Giulia Sarti,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giuliano Pazzaglini,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Giuliano Vassalli,Male,Italy,Italian Socialist Party,,Legislative,,,Current,,query (6).csv
Giulio Centemero,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Giulio Terzi di Sant'Agata,Male,Italy,,,Legislative,2022,,Current,GiulioTerzi,query (6).csv
Giulio Valli,Male,Italy,,,Legislative,,,Current,,query (6).csv
Giuseppe Auddino,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giuseppe Basini,Male,Italy,National Alliance,,Legislative,2018,2022,Former,,query (6).csv
Giuseppe Brescia,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,g_brescia,query (6).csv
Giuseppe Brusasca,Male,Italy,Christian Democracy,,Legislative,,,Current,,query (6).csv
Giuseppe Buompane,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giuseppe Cesare Donina,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Giuseppe Chiazzese,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giuseppe Cucca,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Giuseppe D'Ambrosio,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giuseppe De Cristofaro,Male,Italy,Sinistra Italiana,,Legislative,2022,,Current,,query (6).csv
Giuseppe Di Lello Finuoli,Male,Italy,Communist Refoundation Party,,Legislative,,,Current,,query (6).csv
Giuseppe Ercole Bellachioma,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Giuseppe Guarascio,Male,Italy,Italian Communist Party,,Legislative,,,Current,,query (6).csv
Giuseppe L'Abbate,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giuseppe Mangialavori,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Giuseppe Moles,Male,Italy,The People of Freedom,,Legislative,2018,2022,Former,,query (6).csv
Giuseppe Paolin,Male,Italy,Lega Nord,,Legislative,2020,2022,Former,,query (6).csv
Giuseppe Pisani,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giuseppe Vignola,Male,Italy,Italian Communist Party,,Legislative,,,Current,,query (6).csv
Giuseppe d'Ippolito,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Giuseppina Castiello,Female,Italy,National Alliance,,Legislative,2018,2022,Former,,query (6).csv
Giuseppina Occhionero,Female,Italy,Italy Alive,,Legislative,2018,2022,Former,,query (6).csv
Giusi Bartolozzi,Female,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Giusy Versace,Female,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Giusy Versace,Female,Italy,Forza Italia,,Legislative,2022,,Current,,query (6).csv
Gloria Saccani Jotti,Female,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Gloria Vizzini,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Grazia D'Angelo,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Graziano Delrio,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,graziano_delrio,query (6).csv
Graziano Delrio,Male,Italy,Democratic Party,,Legislative,2022,,Current,graziano_delrio,query (6).csv
Graziano Musella,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Graziano Pizzimenti,Male,Italy,Lega per Salvini Premier,,Legislative,2022,,Current,,query (6).csv
Graziella Leyla Ciaga,Female,Italy,Democratic Party,,Legislative,2021,2022,Former,,query (6).csv
Gregorio Fontana,Male,Italy,Italian Liberal Party,,Legislative,2018,2022,Former,Greg_Fontana,query (6).csv
Gregorio de Falco,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Gualtiero Caffaratto,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Guglielmo Epifani,Male,Italy,Article 1 – Democratic and Progressive Movement,,Legislative,2018,2021,Former,,query (6).csv
Guglielmo Golinelli,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,GullyGolinelli,query (6).csv
Guglielmo Picchi,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Guia Termini,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Guido Borsellino Castellana,Male,Italy,,,Legislative,,,Current,,query (6).csv
Guido Castelli,Male,Italy,Italian Social Movement - National Right,,Legislative,2022,,Current,,query (6).csv
Guido De Martini,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,GuidoDeMartini,query (6).csv
Guido Della Frera,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Guido Germano Pettarin,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Guido Guidesi,Male,Italy,Lega Nord,,Legislative,2018,2021,Former,guidoguidesi,query (6).csv
Guido Quintino Liris,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Ignazio Benito Maria La Russa,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,Ignazio_LaRussa,query (6).csv
Ignazio Benito Maria La Russa,Male,Italy,Brothers of Italy,,Legislative,2018,2022,Former,Ignazio_LaRussa,query (6).csv
Ignazio Zullo,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Igor Iezzi,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Ilaria Cucchi,Female,Italy,,,Legislative,2022,,Current,cucchi_ilaria,query (6).csv
Ilaria Fontana,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Ilenia Malavasi,Female,Italy,Democratic Party,,Legislative,2022,,Current,,query (6).csv
Imma Vietri,Female,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Immacolata Zurzolo,Female,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Ingrid Bisa,Female,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Iolanda Di Stasio,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Irene Gori,Female,Italy,Brothers of Italy,,Legislative,2025,,Current,,query (6).csv
Isabella Rauti,Female,Italy,Brothers of Italy,,Legislative,2018,2022,Former,,query (6).csv
Isabella Rauti,Female,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Iunio Valerio Romano,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Ivan Scalfarotto,Male,Italy,Italy Alive,,Legislative,2018,2022,Former,,query (6).csv
Ivan Scalfarotto,Male,Italy,Italy Alive,,Legislative,2022,,Current,,query (6).csv
Jacopo Morrone,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Jari Colla,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Jessica Costanzo,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
José Luís del Roio,Male,Italy,Communist Refoundation Party,,Legislative,,,Current,,query (6).csv
Julia Unterberger,Female,Italy,South Tyrolean People's Party,,Legislative,2022,,Current,,query (6).csv
Julia Unterberger,Female,Italy,South Tyrolean People's Party,,Legislative,2018,2022,Former,,query (6).csv
Ketty Fogliani,Female,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Laura Boldrini,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,lauraboldrini,query (6).csv
Laura Bottici,Female,Italy,Five Star Movement,,Legislative,2018,,Current,,query (6).csv
Laura Cantini,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Laura Castelli,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,LaCastelliM5s,query (6).csv
Laura Cavandoli,Female,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Laura Garavini,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,LauraGaravini,query (6).csv
Laura Ravetto,Female,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Laura Stabile,Female,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Lavinia Mennuni,Female,Italy,Brothers of Italy,,Legislative,2022,,Current,LaviniaMennuni,query (6).csv
Leda Volpi,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Lello Ciampolillo,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Lello Russo,Male,Italy,Forza Italia,,Legislative,,,Current,,query (6).csv
Leonardo Donno,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Leonardo Grimani,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Leonardo Tarantino,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Lia Quartapelle,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,LiaQuartapelle,query (6).csv
Licia Ronzulli,Female,Italy,The People of Freedom,,Legislative,2022,,Current,liciaronzulli,query (6).csv
Licia Ronzulli,Female,Italy,The People of Freedom,,Legislative,2018,2022,Former,liciaronzulli,query (6).csv
Lino Pettazzi,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Lisa Noja,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Lodovico Montini,Male,Italy,Christian Democracy,,Legislative,,,Current,,query (6).csv
Loredana De Petris,Female,Italy,Left,,Legislative,2018,2022,Former,,query (6).csv
Loredana Russo,Female,Italy,Five Star Movement,,Legislative,,2022,Former,,query (6).csv
Lorena Milanato,Female,Italy,The People of Freedom,,Legislative,2018,2022,Former,,query (6).csv
Lorenzo Basso,Male,Italy,Democratic Party,,Legislative,2022,,Current,,query (6).csv
Lorenzo Fioramonti,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,lofioramonti,query (6).csv
Lorenzo Fontana,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,Fontana3Lorenzo,query (6).csv
Lorenzo Guerini,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,guerini_lorenzo,query (6).csv
Lorenzo Malagola,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Lorenzo Viviani,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Luana Zanella,Female,Italy,Federation of the Greens,,Legislative,2022,,Current,veneziazanella,query (6).csv
Luca Briziarelli,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Luca Carabetta,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Luca Ciriani,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Luca Ciriani,Male,Italy,Brothers of Italy,,Legislative,2018,2022,Former,,query (6).csv
Luca De Carlo,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,decarlosindaco,query (6).csv
Luca De Carlo,Male,Italy,Brothers of Italy,,Legislative,2020,2022,Former,decarlosindaco,query (6).csv
Luca Frusone,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,lucafrusone,query (6).csv
Luca Lotti,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,LottiLuca,query (6).csv
Luca Migliorino,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Luca Paolini,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Luca Pastorino,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Luca Pirondini,Male,Italy,,,Legislative,2022,,Current,,query (6).csv
Luca Rizzo Nervo,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Luca Sani,Male,Italy,Democratic Party,,Legislative,2020,2022,Former,,query (6).csv
Luca Sbardella,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Luca Squeri,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,LucaSqueri,query (6).csv
Luca Sut,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Luca Toccalini,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Lucia Albano,Female,Italy,Brothers of Italy,,Legislative,2022,,Current,,query (6).csv
Lucia Albano,Female,Italy,Brothers of Italy,,Legislative,2020,2022,Former,,query (6).csv
Lucia Annibali,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,LAnnibali,query (6).csv
Lucia Azzolina,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Lucia Borgonzoni,Female,Italy,Lega Nord,,Legislative,2022,,Current,senborgonzoni,query (6).csv
Lucia Borgonzoni,Female,Italy,Lega Nord,,Legislative,2018,2022,Former,senborgonzoni,query (6).csv
Lucia Ciampi,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Lucia Scanu,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Luciano Cadeddu,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Luciano Cantone,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Luciano Cillis,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Luciano D'Alfonso,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Luciano Nobili,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Luciano Pizzetti,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Lucio Malan,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Lucio Malan,Male,Italy,Forza Italia,,Legislative,2022,,Current,,query (6).csv
Lucrezia Mantovani,Female,Italy,Brothers of Italy,,Legislative,2019,2022,Former,,query (6).csv
Luigi Augussori,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Luigi Burgo,Male,Italy,,,Legislative,,,Current,,query (6).csv
Luigi Casciello,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,query (6).csv
Luigi Cesaro,Male,Italy,The People of Freedom,,Legislative,2018,2022,Former,,query (6).csv
Luigi D'Eramo,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,query (6).csv
Luigi Di Maio,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,luigidimaio,query (6).csv
Luigi Di Marzio,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Luigi Gallo,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,LuigiGallo15,query (6).csv
Luigi Iovino,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,query (6).csv
Luigi Maninetti,Male,Italy,Christian Democracy,,Legislative,,,Current,,query (6).csv
Luigi Marattin,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
Luigi Nave,Male,Italy,,,Legislative,2022,,Current,,query (6).csv
Luigi Spagnolli,Male,Italy,Democratic Party,,Legislative,2022,,Current,LuigiSpagnolli,query (6).csv
Luigi Vitali,Male,Italy,Cambiamo!,,Legislative,2018,2022,Former,,query (6).csv
Luigi Zanda,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,query (6).csv
