Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,source_file
Aaron Valent,Male,Germany,Die Linke,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Achim Kessler,Male,Germany,Die Linke,member of the German Bundestag,Legislative,2017,2021,Former,AchimKessler,query (4).csv
Achim Köhler,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,AchimKoehlerAfD,query (4).csv
Achim Post,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,Achim_P,query (4).csv
Achim Post,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,Achim_P,query (4).csv
Adam Balten,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,adambalten,query (4).csv
Adis Ahmetovic,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Adis Ahmetovic,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,,query (4).csv
Adrian Grasse,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,AdrianGrasse,query (4).csv
Agnes Conrad,Female,Germany,Die Linke,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Agnieszka Brugger,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,agnieszka_mdb,query (4).csv
Agnieszka Brugger,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,agnieszka_mdb,query (4).csv
Agnieszka Brugger,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2017,2021,Former,agnieszka_mdb,query (4).csv
Alaa Alhamwi,Male,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,AlhamwiAlaa,query (4).csv
Albert Rupprecht,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,,query (4).csv
Albert Rupprecht,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,,query (4).csv
Albert Rupprecht,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Albert Stegemann,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,StegemannAlbert,query (4).csv
Albert Stegemann,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,StegemannAlbert,query (4).csv
Albert Stegemann,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,StegemannAlbert,query (4).csv
Albert Weiler,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,,query (4).csv
Albrecht Glaser,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,GlaserMdb,query (4).csv
Albrecht Glaser,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,GlaserMdb,query (4).csv
Alexander Arpaschi,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,AArpaschi,query (4).csv
Alexander Bartz,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2022,2025,Former,,query (4).csv
Alexander Dobrindt,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,,query (4).csv
Alexander Dobrindt,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Alexander Dobrindt,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,,query (4).csv
Alexander Engelhard,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,engelhardmdb,query (4).csv
Alexander Engelhard,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,engelhardmdb,query (4).csv
Alexander Föhr,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2023,2025,Former,,query (4).csv
Alexander Gauland,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2021,,Current,,query (4).csv
Alexander Gauland,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Alexander Gauland,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2017,2021,Former,,query (4).csv
